domen,min,avg,max,mdev,packets transmitted,received,packet loss%
10.255.255.1,Error,Error,Error,Error,2,0,100
youtube.com,102.172,105.017,107.863,2.845,2,2,0
google.com,91.246,98.551,105.857,7.305,2,2,0
yandex.ru,55.644,55.812,55.980,0.168,2,2,0
github.com,89.549,96.445,103.341,6.896,2,2,0
wikipedia.org,87.826,94.195,100.565,6.369,2,2,0
mail.ru,218.029,230.660,243.291,12.631,2,2,0
cloudflare.com,14.318,20.359,26.400,6.041,2,2,0
vk.com,54.649,61.989,69.329,7.340,2,2,0
apple.com,67.064,73.204,79.345,6.140,2,2,0
mail.ru.com,100.064,107.744,115.424,7.680,2,2,0
stackoverflow.com,13.538,14.088,14.638,0.550,2,2,0
